osmid,y,x,street_count,highway,ref,geometry
102047,51.5131635,-0.1607139,3,,,POINT (-0.1607139 51.5131635)
102052,51.5125951,-0.1588902,3,,,POINT (-0.1588902 51.5125951)
102053,51.5129786,-0.1581826,3,,,POINT (-0.1581826 51.5129786)
102054,51.5133776,-0.1587245,3,,,POINT (-0.1587245 51.5133776)
102057,51.5123747,-0.1607483,3,,,POINT (-0.1607483 51.5123747)
102058,51.514123,-0.1680884,3,,,POINT (-0.1680884 51.514123)
102059,51.5139413,-0.1680391,3,mini_roundabout,,POINT (-0.1680391 51.5139413)
102061,51.5135818,-0.1715503,4,mini_roundabout,,POINT (-0.1715503 51.5135818)
102062,51.5130476,-0.1724839,3,,,POINT (-0.1724839 51.5130476)
102069,51.5127763,-0.1753763,3,,,POINT (-0.1753763 51.5127763)
102070,51.5126575,-0.1757432,3,,,POINT (-0.1757432 51.5126575)
102071,51.5121056,-0.1759101,3,,,POINT (-0.1759101 51.5121056)
102073,51.5110187,-0.1797724,3,,,POINT (-0.1797724 51.5110187)
102083,51.5104893,-0.1836547,3,,,POINT (-0.1836547 51.5104893)
102084,51.5109862,-0.179995,3,,,POINT (-0.179995 51.5109862)
102085,51.5103004,-0.186934,4,,,POINT (-0.186934 51.5103004)
102089,51.5099488,-0.1915788,3,,,POINT (-0.1915788 51.5099488)
102090,51.5094804,-0.1941004,4,,,POINT (-0.1941004 51.5094804)
102091,51.5093149,-0.195199,3,,,POINT (-0.195199 51.5093149)
102093,51.5086227,-0.1938028,3,,,POINT (-0.1938028 51.5086227)
102094,51.507358,-0.1930964,3,,,POINT (-0.1930964 51.507358)
